index,Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
28824,ph,madalag,10.899438,122.982804,84.26,79.0,36.0,4.63
33518,ro,margineni,46.6,26.9,44.6,65.0,75.0,16.11
588,at,ebenthal,46.608056,14.364167000000002,20.16,100.0,90.0,1.12
30405,ph,tamlang,10.816667,123.433333,82.87,97.0,32.0,3.18
4156,br,tremedal,-14.966667000000001,-41.4,68.24,99.0,80.0,3.74
37902,ru,roshchino,60.247426000000004,29.613078,19.4,85.0,40.0,2.24
15022,hn,marale,14.883333300000002,-87.15,66.62,95.0,88.0,1.83
39987,sv,tenancingo,13.833333300000001,-88.9833333,75.2,73.0,0.0,6.93
34423,ro,tantareni,44.6,23.483333,,,,
18747,in,nanded,19.15,77.333333,,,,
3848,br,santa adelia,-21.266667,-48.8,68.29,97.0,92.0,7.99
21243,jp,chigasaki,35.326111,139.403889,52.18,43.0,20.0,3.36
45491,us,socastee,33.6833333,-78.99861109999999,42.46,100.0,90.0,9.17
3082,br,itacarambi,-15.016667000000002,-44.05,72.07,93.0,56.0,3.96
31958,py,mariano roque alonso,-25.166667,-57.55,,,,
8717,de,dinkelsbuhl,49.066666999999995,10.316667,30.2,92.0,90.0,12.75
44827,us,port chester,41.0016667,-73.6661111,37.63,44.0,75.0,4.7
32620,ro,certesti,46.016667,27.616667,29.63,82.0,24.0,5.3
45700,us,lake jackson,29.0336111,-95.4341667,43.25,87.0,90.0,10.29
9954,dk,egtved,55.617955,9.301021,45.07,100.0,90.0,19.46
27552,ph,bugko,12.5356,124.7923,83.63,98.0,24.0,8.55
14190,gr,rethimnon,35.3647222,24.4713889,,,,
8113,cz,milevsko,49.451895,14.361574,18.97,75.0,0.0,2.95
11098,es,vigo,42.232822999999996,-8.722636999999999,48.2,61.0,90.0,8.05
13572,gr,galatades,40.7544444,22.271666699999997,39.74,49.0,20.0,9.17
9861,de,wilhelmshaven,53.516667000000005,8.133333,42.8,70.0,75.0,21.92
18964,in,patnagarh,20.716667,83.15,78.23,70.0,0.0,4.74
10512,ee,puurmani,58.5783333,26.275277799999998,,,,
26813,pe,tarma,-11.419722199999999,-75.6908333,46.46,72.0,92.0,2.17
16132,hu,vaja,48.005739,22.167609,34.54,93.0,75.0,7.99
32323,ro,biertan,46.133333,24.516667,33.8,92.0,48.0,1.12
43905,us,hull,42.3019444,-70.9083333,34.14,69.0,1.0,4.7
45163,us,duncan,34.5022222,-97.9575,32.38,55.0,1.0,4.7
15101,hn,rio bonito,14.766666699999998,-87.8833333,71.6,100.0,90.0,11.41
42505,us,rio linda,38.6911111,-121.4475,40.01,70.0,1.0,3.62
14951,hn,la encarnacion,14.666666699999999,-89.08333329999999,63.47,97.0,64.0,2.06
21814,jp,tagawa,33.633333,130.8,51.22,53.0,75.0,2.24
20997,it,silea,45.656110999999996,12.300278,32.09,92.0,12.0,1.12
4308,bw,gaborone,-24.646388899999998,25.9119444,64.4,93.0,90.0,6.93
28672,ph,linapacan,11.4924,119.8703,,,,
22450,lt,veisiejai,54.1,23.7,41.0,93.0,90.0,11.18
35328,ru,bekovo,52.466322999999996,43.711993,25.81,94.0,88.0,10.67
39169,ru,zabaykalsk,49.633333,117.316667,6.68,51.0,0.0,8.77
20949,it,santo stino di livenza,45.735,12.680833,32.92,92.0,12.0,4.7
20397,it,este,45.233333,11.65,30.2,92.0,32.0,1.12
25780,no,bagn,60.816667,9.566667,23.47,89.0,92.0,2.39
42307,us,eureka,40.8022222,-124.1625,42.8,93.0,1.0,8.05
16266,id,depok,-7.696667,110.2175,92.37,59.0,40.0,16.11
36193,ru,kardzhin,43.264639,44.295374,30.2,74.0,20.0,4.47
45265,us,chester,39.849444399999996,-75.35611109999999,35.92,74.0,1.0,8.77
77,al,ballsh,40.5988889,19.734722199999997,32.74,80.0,0.0,2.95
32739,ro,corbeni,45.3,24.65,33.8,86.0,75.0,2.24
40348,tj,bustonkala,37.8666667,68.83333329999999,,,,
28670,ph,linao,7.167778,124.9675,85.25,86.0,0.0,2.84
27266,ph,banaba,13.8966,121.21,86.0,79.0,90.0,5.82
1627,be,linkebeek,50.766667,4.3333330000000005,37.4,95.0,20.0,18.34
41779,ua,tatarbunary,45.837308,29.614243,34.22,84.0,0.0,10.22
36883,ru,lyamino,58.2839,57.725,24.86,88.0,68.0,9.89
40231,th,pattani,6.8749,101.254851,84.2,79.0,40.0,6.93
37687,ru,podlesnyy,53.94003299999999,38.26872,24.46,92.0,88.0,14.7
15757,hu,lorinci,47.732952000000004,19.678669,32.0,72.0,0.0,6.93
30236,ph,sogod,13.833332999999998,123.316667,83.77,82.0,68.0,4.41
16675,ie,loughrea,53.1969444,-8.5669444,44.6,70.0,40.0,11.41
135,al,shijak,41.345555600000004,19.567222199999996,32.0,100.0,0.0,3.36
39581,si,sentjur,46.2172222,15.3975,26.62,92.0,0.0,4.74
39780,sl,port loko,8.766666699999998,-12.7833333,69.5,93.0,0.0,2.39
15845,hu,nyirabrany,47.553108,22.024008,34.41,95.0,75.0,8.05
21143,it,voghera,44.983333,9.016667,42.75,93.0,40.0,2.24
11172,et,guder,8.966667,37.766667,62.75,44.0,0.0,3.18
18466,in,maghar,26.757222,83.127778,80.17,43.0,0.0,4.41
36857,ru,lotoshino,56.234885999999996,35.64273,22.57,89.0,80.0,8.88
29186,ph,nagas,13.4357,123.6781,,,,
719,at,sankt valentin,48.166667,14.516667000000002,33.8,80.0,75.0,5.82
18921,in,panhala,16.816667000000002,74.116667,77.96,77.0,8.0,4.29
14987,hn,las lajas,14.7833333,-87.75,71.6,100.0,90.0,11.41
29084,ph,matangad,8.576944000000001,124.37,83.32,96.0,8.0,4.97
44754,us,haverstraw,41.1975,-73.965,37.18,47.0,75.0,5.82
43073,us,dunwoody,33.9461111,-84.3347222,42.31,65.0,90.0,4.7
3808,br,rio de janeiro,-22.9,-43.233333,74.55,69.0,75.0,8.05
34689,ro,vedea,44.083333,25.066667000000002,34.22,81.0,0.0,9.22
37460,ru,olenegorsk,68.140359,33.273705,5.56,81.0,48.0,2.73
15391,hu,balatonlelle,46.783182000000004,17.694982999999997,23.0,100.0,75.0,2.24
43924,us,mashpee,41.6483333,-70.4816667,38.32,55.0,1.0,8.05
5785,cm,muyuka,4.2972222,9.4055556,77.0,100.0,75.0,2.24
39493,se,varberg,57.1,12.25,45.5,87.0,90.0,24.16
12542,gb,fortrose,57.583332999999996,-4.133333,43.43,75.0,20.0,34.45
46123,us,menomonie,44.875555600000006,-91.9191667,16.05,67.0,1.0,12.75
22846,mk,brod,41.513611100000006,21.215277800000003,,,,
41862,ua,vradiyivka,47.861948,30.591953000000004,38.36,93.0,92.0,16.82
40779,tw,fengshan,22.6333333,120.35,74.95,54.0,75.0,14.99
23355,mx,amatitan,20.833333,-103.716667,62.6,45.0,5.0,3.36
21264,jp,fujimi,35.873739,139.555375,,,,
16658,ie,kilcormac,53.1741667,-7.7255556,43.13,80.0,0.0,25.21
12419,gb,colchester,51.883333,0.9,49.3,81.0,75.0,23.04
15588,hu,gyongyoshalasz,47.741613,19.928764,32.0,72.0,0.0,6.93
26387,pa,chame,8.583333300000001,-79.8833333,78.86,100.0,80.0,2.28
38288,ru,sovetskiy,60.539454000000006,28.677558,23.51,83.0,76.0,6.98
8650,de,buchloe,48.033333,10.733333,25.59,100.0,20.0,2.24
13942,gr,milesion,38.283333299999995,23.8,36.52,100.0,20.0,3.36
38985,ru,voskresenskoye,52.797073,56.36564,20.59,93.0,88.0,2.95
35415,ru,blagoyevo,63.36666700000001,47.916667,18.47,79.0,76.0,2.62
27497,ph,bombon,13.6887,123.2077,80.71,96.0,80.0,2.39
1832,be,yvoir,50.333333,4.883333,35.26,94.0,75.0,16.11
38430,ru,suvorov,54.1223,36.496565999999994,22.88,91.0,76.0,12.57
41536,ua,nove davydkovo,48.441334000000005,22.621638,33.8,100.0,90.0,4.47
25437,ni,villa sandino,12.05,-84.9833333,75.98,87.0,48.0,10.56
19914,ir,khalkhal,37.6189,48.5258,,,,
2094,bg,zemen,42.478888899999994,22.7491667,33.8,74.0,0.0,6.93
3157,br,itupiranga,-5.15,-49.333333,78.8,88.0,64.0,2.24
11949,fr,quimper,48.0,-4.1,55.4,100.0,90.0,19.46
16237,id,cicalengka,-6.932222,107.47027800000001,,,,
9447,de,pegnitz,49.756389,11.545,32.0,96.0,90.0,6.93
9040,de,holzminden,51.816666999999995,9.45,40.55,74.0,90.0,14.99
28053,ph,del pilar,7.563056,125.82666699999999,87.15,58.0,75.0,4.7
19240,in,safidon,29.416666999999997,76.666667,63.2,83.0,0.0,5.75
32510,ro,buza,46.9,24.15,34.36,90.0,75.0,1.39
18125,in,kannur,11.866667,75.365278,,,,
13931,gr,methana,37.5833333,23.3833333,36.52,100.0,20.0,3.36
31544,pt,campo,40.710857,-7.91445,41.43,70.0,20.0,9.17
16785,il,pardesiyya,32.305774,34.909110999999996,57.4,81.0,0.0,2.24
26341,om,salalah,17.0175,54.082777799999995,75.2,29.0,0.0,11.41
6921,co,guatape,6.232741000000001,-75.158638,60.8,93.0,40.0,1.95
978,az,culfa,38.9558,45.6308,32.0,87.0,90.0,11.41
34377,ro,stulpicani,47.466667,25.766667,37.4,74.0,75.0,9.17
21379,jp,iruma,35.845515999999996,139.412003,,,,
45676,us,hidalgo,26.1,-98.2627778,46.42,100.0,90.0,13.87
33950,ro,puchenii mari,44.816666999999995,26.083333,32.04,92.0,0.0,6.93
2883,br,farroupilha,-29.233333000000002,-51.35,68.92,87.0,32.0,4.63
14336,gr,vartholomio,37.8666667,21.2,34.63,100.0,0.0,4.97
34792,ro,zavoaia,44.933333000000005,27.533333000000002,28.91,89.0,0.0,4.63
3328,br,maracai,-22.6,-50.65,68.24,98.0,92.0,8.21
45183,us,sand springs,36.1397222,-96.10861109999999,36.28,48.0,1.0,6.93
10657,es,alginet,39.266667,-0.466667,33.8,86.0,0.0,2.24
39033,ru,vysokovsk,56.316667,36.55,23.0,92.0,75.0,6.71
17675,in,firozabad,27.15,78.416667,70.94,70.0,32.0,6.08
26267,nz,paihia,-35.283333,174.083333,69.32,61.0,0.0,11.45
3844,br,salto de pirapora,-23.6494,-47.5715,67.7,88.0,68.0,4.63
35314,ru,baykalovo,57.39810799999999,63.768406000000006,20.54,86.0,92.0,12.8
15784,hu,mende,47.431325,19.456282,32.0,88.0,0.0,6.93
22817,mg,miandrivazo,-19.5166667,45.466666700000005,85.12,67.0,0.0,2.95
13778,gr,koimisis,41.216666700000005,23.3,18.79,74.0,0.0,2.06
8800,de,erlensee,50.15,8.95,32.85,98.0,90.0,13.87
35577,ru,chekalin,54.052774,36.29139,23.29,90.0,80.0,9.78
39811,sn,gandiaye,14.233333300000002,-16.2666667,69.32,27.0,0.0,12.01
8862,de,furtwangen,48.05,8.2,,,,
44823,us,pearl river,41.0588889,-74.0222222,36.55,64.0,90.0,7.99
27865,ph,casisang,8.138056,125.125,84.67,65.0,0.0,3.62
34815,rs,backa palanka,45.250833,19.391944,,,,
1621,be,liedekerke,50.866667,4.0833330000000005,37.71,95.0,20.0,18.34
18512,in,maler kotla,30.516666999999998,75.883333,66.44,51.0,0.0,6.42
25155,na,warmbad,-28.45,18.7333333,79.94,37.0,0.0,13.91
15321,ht,les cayes,18.2,-73.75,81.65,100.0,88.0,12.91
14966,hn,laguna verde,15.2,-88.16666670000001,75.2,100.0,75.0,0.6
42938,us,ojus,25.9480556,-80.1508333,72.05,88.0,1.0,5.41
8593,de,bingen,49.966667,7.9,30.2,92.0,90.0,3.36
41092,tz,songea,-10.683333300000001,35.65,71.6,78.0,75.0,9.17
10451,ee,kiiu,59.44777779999999,25.3794444,28.4,92.0,0.0,8.05
24199,mx,nopalucan,19.216667,-97.81666700000001,,,,
36442,ru,komsomolskiy,67.55,63.783333,31.97,97.0,48.0,7.2
1121,ba,jelah,44.654166700000005,17.9580556,22.98,100.0,0.0,3.36
36381,ru,kletnya,53.389674,33.217141,28.4,92.0,75.0,11.18
38899,ru,verkh-suetka,53.3,80.05,14.78,89.0,44.0,6.08
3256,br,laguna,-28.483333000000002,-48.783333,71.39,97.0,76.0,18.5
31309,pl,ropczyce,50.05257,21.609053,39.2,86.0,90.0,18.34
17007,in,ayodhya,26.8,82.2,80.26,44.0,8.0,4.74
34893,rs,klupci,44.531389000000004,19.251944,,,,
8528,de,bad sachsa,51.6,10.55,33.82,89.0,0.0,10.67
9756,de,vaihingen,48.933333000000005,8.966667,,,,
8711,de,dietzenbach,50.016667,8.783333,33.17,100.0,20.0,6.93
26187,nz,amberley,-43.166667,172.73333300000002,68.0,72.0,0.0,21.92
6078,cn,jijiang,29.290556,106.254167,,,,
14421,gt,cabrican,15.133332999999999,-91.616667,50.02,90.0,0.0,2.62
