index,Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
15981,hu,sirok,47.933333000000005,20.2,22.74,96.0,56.0,2.91
12493,gb,durham,54.766667000000005,-1.566667,34.63,93.0,0.0,2.24
22533,lu,keispelt,49.694444399999995,6.0694444,31.32,100.0,90.0,9.17
1044,az,zaqatala,41.633611,46.643333,33.8,86.0,75.0,2.24
8785,de,eppelborn,49.4,6.966667,31.28,92.0,75.0,11.41
38009,ru,sayansk,54.1088,102.1648,21.52,83.0,88.0,4.41
43561,us,olathe,38.8813889,-94.8188889,62.6,72.0,1.0,20.8
13552,gr,farsala,39.2947222,22.3847222,48.2,76.0,20.0,5.82
30360,ph,talang,15.0143,120.9047,87.82,62.0,75.0,4.7
32353,ro,bodesti,47.033333,26.416666999999997,32.0,68.0,90.0,4.07
25996,no,orje,59.483332999999995,11.65,19.4,92.0,0.0,3.36
30481,ph,tignapoloan,8.272778,124.575556,,,,
32712,ro,colceag,44.95,26.35,34.72,92.0,0.0,10.29
33231,ro,hanesti,47.916667,26.983333000000002,32.0,75.0,0.0,9.17
19839,ir,alvand,36.3187,49.1678,35.83,79.0,0.0,2.35
23156,mu,cottage,-20.0597222,57.6291667,80.6,69.0,40.0,16.11
1829,be,wingene,51.066666999999995,3.266667,42.67,81.0,75.0,8.05
13957,gr,monastirakion,38.85,20.95,51.8,93.0,75.0,3.36
37771,ru,priladozhskiy,59.85,31.483333000000002,30.2,92.0,75.0,6.71
43782,us,havre de grace,39.5491667,-76.0919444,34.11,100.0,1.0,2.28
6072,cn,jiazi,22.877914,116.067054,72.46,83.0,0.0,5.93
36648,ru,krutaya gorka,55.364934,73.223096,15.8,72.0,0.0,6.71
43306,us,lisle,41.8011111,-88.07472220000001,49.51,61.0,1.0,11.41
36098,ru,kafyr-kumukh,42.837540000000004,47.154123,41.0,86.0,20.0,8.95
43706,us,orono,44.883055600000006,-68.6725,27.61,79.0,40.0,6.93
1079,ba,citluk,43.2286111,17.700833300000003,32.0,91.0,20.0,4.7
20486,it,grugliasco,45.066666999999995,7.5833330000000005,28.4,79.0,0.0,4.7
18288,in,kodala,19.633333,84.95,78.22,67.0,0.0,5.26
16804,il,sakhnin,32.862221999999996,35.293333000000004,58.53,33.0,0.0,10.29
31758,pt,riachos,39.444725,-8.5142,32.0,86.0,0.0,2.24
